fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2024-07-01,8025,ALACANT/ALICANTE,ALICANTE,81,"25,0","1,8","21,4",23:59,"28,5",13:40,03,"2,2","9,4",10:20,"10,0","1010,1",Varias,"1003,1",04,63,85,04:00,48,12:30
2024-07-02,8025,ALACANT/ALICANTE,ALICANTE,81,"24,2","0,0","19,7",05:00,"28,8",08:50,11,"1,9","6,9",12:30,"13,7","1009,7",00,"1005,5",18,60,82,00:00,46,08:40
2024-07-03,8025,ALACANT/ALICANTE,ALICANTE,81,"25,2","0,0","20,7",05:00,"29,7",15:00,13,"1,9","6,1",12:30,"13,7","1006,0",00,"1003,0",17,56,82,05:00,43,14:40
2024-07-04,8025,ALACANT/ALICANTE,ALICANTE,81,"26,8","0,0","21,4",05:00,"32,2",10:50,12,"1,9","6,4",12:40,"13,8","1005,8",11,"1003,5",03,51,78,03:50,37,10:00
2024-07-05,8025,ALACANT/ALICANTE,ALICANTE,81,"25,6","0,0","20,4",05:30,"30,8",12:10,07,"2,5","8,9",10:20,"13,1","1005,4",00,"1001,3",19,42,74,22:10,29,07:30
2024-07-06,8025,ALACANT/ALICANTE,ALICANTE,81,"26,2","0,0","22,1",05:00,"30,4",Varias,15,"1,9","8,3",Varias,"12,1","1002,0",24,"997,8",17,64,84,Varias,48,13:50
2024-07-07,8025,ALACANT/ALICANTE,ALICANTE,81,"26,2","0,0","22,6",05:00,"29,7",10:20,06,"3,1","9,4",16:30,"10,5","1006,0",Varias,"1001,6",03,70,86,Varias,54,13:30
2024-07-08,8025,ALACANT/ALICANTE,ALICANTE,81,"25,8","0,0","22,6",04:40,"28,9",Varias,14,"2,2","6,9",11:50,"10,3","1006,7",22,"1004,9",16,68,86,04:40,61,14:50
2024-07-09,8025,ALACANT/ALICANTE,ALICANTE,81,"25,6","0,0","22,1",02:00,"29,2",14:00,14,"1,4","6,4",14:10,"13,2","1007,3",22,"1005,1",01,66,82,01:50,59,08:20
2024-07-10,8025,ALACANT/ALICANTE,ALICANTE,81,"26,0","0,0","21,4",05:00,"30,7",09:20,17,"1,7","5,8",11:10,"13,6","1008,0",13,"1005,6",03,59,87,23:59,52,09:00
2024-07-11,8025,ALACANT/ALICANTE,ALICANTE,81,"26,9","0,0","23,1",03:50,"30,7",15:00,20,"2,2","5,8",15:50,"12,0","1008,2",Varias,"1004,0",24,70,92,04:50,57,14:10
2024-07-12,8025,ALACANT/ALICANTE,ALICANTE,81,"27,0","0,0","22,9",05:30,"31,0",13:10,06,"2,8","8,6",15:10,"12,4","1004,0",00,"1001,8",03,72,90,02:30,61,11:40
2024-07-13,8025,ALACANT/ALICANTE,ALICANTE,81,"26,7","0,0","24,6",03:00,"28,8",14:40,06,"2,8","8,1",09:50,"2,3","1003,8",10,"1001,7",17,76,88,03:00,67,14:10
2024-07-14,8025,ALACANT/ALICANTE,ALICANTE,81,"27,4","0,0","24,0",04:50,"30,7",12:20,15,"2,5","8,1",14:30,"12,4","1004,3",09,"1002,6",17,69,88,04:40,60,12:00
2024-07-15,8025,ALACANT/ALICANTE,ALICANTE,81,"27,8","0,0","22,6",05:40,"32,9",16:00,16,"1,7","6,4",10:40,"13,5","1003,8",07,"1002,0",18,64,90,02:20,45,15:20
2024-07-16,8025,ALACANT/ALICANTE,ALICANTE,81,"28,0","0,0","23,3",04:00,"32,8",12:40,99,"2,5","8,6",Varias,"13,3","1006,4",23,"1002,5",02,71,92,05:00,57,11:40
2024-07-17,8025,ALACANT/ALICANTE,ALICANTE,81,"27,6","0,0","24,5",04:20,"30,7",09:40,99,"3,1","8,9",Varias,"12,4","1009,0",11,"1005,5",Varias,65,87,04:30,56,09:30
2024-07-18,8025,ALACANT/ALICANTE,ALICANTE,81,"28,0","0,0","22,6",04:20,"33,3",14:00,12,"1,7","5,8",10:10,"11,8","1010,0",08,"1007,1",18,54,81,23:30,39,11:50
2024-07-19,8025,ALACANT/ALICANTE,ALICANTE,81,"28,4","0,0","22,8",05:20,"33,9",11:50,14,"1,9","5,6",13:20,"12,7","1008,8",00,"1004,8",24,49,81,01:10,33,19:00
2024-07-20,8025,ALACANT/ALICANTE,ALICANTE,81,"29,0","0,0","23,2",Varias,"34,8",15:40,14,"1,4","5,8",11:10,"12,8","1004,8",00,"997,1",24,52,81,23:59,32,07:50
2024-07-21,8025,ALACANT/ALICANTE,ALICANTE,81,"30,6","0,0","24,8",04:00,"36,4",08:50,08,"2,8","10,0",09:10,"13,4","1007,4",23,"996,6",Varias,49,84,21:20,24,08:40
2024-07-22,8025,ALACANT/ALICANTE,ALICANTE,81,"28,0","0,0","24,7",23:59,"31,2",14:00,15,"2,5","6,7",15:00,"11,1","1010,5",22,"1007,2",01,63,85,00:40,41,14:40
2024-07-23,8025,ALACANT/ALICANTE,ALICANTE,81,"27,6","0,0","22,1",05:40,"33,0",14:00,14,"2,2","7,5",13:30,"13,5","1011,6",08,"1009,3",24,50,77,23:20,29,13:10
2024-07-24,8025,ALACANT/ALICANTE,ALICANTE,81,"27,7","0,0","21,3",05:40,"34,1",12:50,16,"2,2","6,9",15:10,"13,5","1009,4",09,"1004,5",20,43,78,00:40,27,Varias
2024-07-25,8025,ALACANT/ALICANTE,ALICANTE,81,"28,2","0,0","22,8",05:00,"33,5",09:20,07,"2,2","6,9",15:50,"12,4","1004,6",00,"1000,3",17,57,80,20:50,30,08:50
2024-07-26,8025,ALACANT/ALICANTE,ALICANTE,81,"27,8","0,0","23,2",05:40,"32,3",13:40,05,"3,1","8,3",11:00,"13,3","1004,0",21,"1000,7",03,60,84,05:00,37,13:30
2024-07-27,8025,ALACANT/ALICANTE,ALICANTE,81,"25,9","0,0","20,7",05:40,"31,1",14:50,08,"2,2","7,5",13:30,"13,1","1005,5",Varias,"1002,6",04,60,83,Varias,50,08:30
2024-07-28,8025,ALACANT/ALICANTE,ALICANTE,81,"28,7","0,0","23,1",05:30,"34,3",14:50,08,"2,5","9,7",17:00,"12,9","1007,4",10,"1004,4",17,54,88,02:50,46,14:30
2024-07-29,8025,ALACANT/ALICANTE,ALICANTE,81,"29,6","0,0","24,6",05:20,"34,6",10:40,06,"3,1","9,2",12:50,"11,9","1008,2",11,"1005,9",17,46,76,02:40,36,10:00
2024-07-30,8025,ALACANT/ALICANTE,ALICANTE,81,"30,0","0,0","23,8",05:30,"36,1",14:20,08,"3,1","9,4",14:00,"8,7","1007,8",10,"1004,8",Varias,32,50,00:00,23,Varias
2024-07-31,8025,ALACANT/ALICANTE,ALICANTE,81,"29,4","0,0","23,4",05:30,"35,3",09:00,99,"1,7","5,8",Varias,"13,0","1004,8",00,"1002,0",18,46,74,22:10,25,08:10
2024-08-01,8025,ALACANT/ALICANTE,ALICANTE,81,"29,2","0,0","24,4",05:30,"33,9",14:40,07,"1,7","5,3",08:10,"12,5","1004,2",10,"1000,8",18,70,88,23:30,53,01:30
2024-08-02,8025,ALACANT/ALICANTE,ALICANTE,81,"29,0","0,0","24,8",05:00,"33,2",13:30,99,"2,2","7,8",11:50,"10,2","1003,0",24,"999,1",17,70,89,01:20,55,13:00
2024-08-03,8025,ALACANT/ALICANTE,ALICANTE,81,"28,6","0,0","24,6",04:40,"32,5",11:40,14,"2,2","7,8",11:50,"12,9","1005,4",Varias,"1002,4",Varias,65,82,Varias,50,14:40
2024-08-04,8025,ALACANT/ALICANTE,ALICANTE,81,"29,0","0,0","24,0",05:30,"33,9",13:10,12,"2,2","6,4",13:10,"13,1","1006,7",10,"1003,6",18,53,81,23:59,38,13:00
2024-08-05,8025,ALACANT/ALICANTE,ALICANTE,81,"27,9","0,0","22,5",05:40,"33,3",14:00,15,"1,7","5,8",10:40,"13,1","1004,5",00,"1001,5",17,52,82,Varias,37,09:20
2024-08-06,8025,ALACANT/ALICANTE,ALICANTE,81,"28,3","0,0","22,1",05:40,"34,5",15:40,14,"1,7","5,3",11:50,"13,1","1002,7",10,"999,8",18,50,82,00:00,36,07:30
2024-08-07,8025,ALACANT/ALICANTE,ALICANTE,81,"29,6","0,0","23,6",03:10,"35,5",14:00,08,"3,9","13,6",15:10,"12,8","1003,6",23,"1000,3",03,37,60,00:40,20,14:50
2024-08-08,8025,ALACANT/ALICANTE,ALICANTE,81,"29,6","0,0","23,5",05:40,"35,8",14:00,07,"2,2","8,6",14:40,"13,0","1006,5",Varias,"1002,9",04,40,68,19:30,25,08:10
2024-08-09,8025,ALACANT/ALICANTE,ALICANTE,81,"28,8","0,0","22,9",04:50,"34,8",14:10,06,"2,5","9,2",13:20,"13,1","1008,8",Varias,"1006,0",02,40,58,00:00,26,13:40
2024-08-10,8025,ALACANT/ALICANTE,ALICANTE,81,"29,2","0,0","23,0",05:30,"35,3",09:40,08,"3,1","10,3",11:50,"13,0","1008,7",11,"1006,4",18,38,54,Varias,25,08:20
2024-08-11,8025,ALACANT/ALICANTE,ALICANTE,81,"29,0","0,0","23,1",05:40,"35,0",12:20,08,"2,5","8,6",11:40,"12,9","1007,0",00,"1003,0",18,40,67,22:20,27,12:50
2024-08-12,8025,ALACANT/ALICANTE,ALICANTE,81,"29,0","0,0","23,8",05:00,"34,2",10:00,14,"2,2","7,8",12:20,"12,5","1004,1",00,"1000,8",18,60,79,23:00,37,09:40
2024-08-13,8025,ALACANT/ALICANTE,ALICANTE,81,"27,9","0,0","23,9",06:00,"31,9",13:20,12,"2,5","6,4",12:50,"9,5","1001,6",07,"998,4",18,66,85,01:30,58,09:40
2024-08-14,8025,ALACANT/ALICANTE,ALICANTE,81,"27,1","4,4","21,9",16:00,"32,3",09:40,32,"1,1","15,0",14:50,"2,8","1005,5",23,"999,8",03,76,89,13:10,50,09:20
2024-08-15,8025,ALACANT/ALICANTE,ALICANTE,81,"25,0","0,0","20,3",06:00,"29,8",10:50,11,"2,5","8,3",12:20,"12,4","1008,2",22,"1004,9",04,60,82,06:00,51,Varias
2024-08-16,8025,ALACANT/ALICANTE,ALICANTE,81,"26,4","0,0","20,9",05:50,"31,9",11:10,15,"2,2","6,9",14:00,"12,8","1008,1",Varias,"1006,3",15,57,80,00:40,43,Varias
2024-08-17,8025,ALACANT/ALICANTE,ALICANTE,81,"27,4","0,0","22,0",05:50,"32,9",11:20,14,"1,7","7,5",12:30,"12,8","1007,8",00,"1004,1",24,56,81,02:40,35,10:10
2024-08-18,8025,ALACANT/ALICANTE,ALICANTE,81,"27,2","0,0","22,3",05:00,"32,1",12:40,18,"2,2","6,4",14:20,"12,7","1004,1",00,"1001,5",18,63,87,23:10,51,10:10
2024-08-19,8025,ALACANT/ALICANTE,ALICANTE,81,"28,2","0,0","24,1",04:50,"32,4",13:10,16,"2,2","6,4",10:20,"12,8","1004,5",10,"1002,5",16,65,86,00:10,48,10:00
2024-08-20,8025,ALACANT/ALICANTE,ALICANTE,81,"28,2","0,0","23,7",05:00,"32,6",13:40,13,"1,9","6,4",12:30,"12,6","1006,0",24,"1003,4",03,67,83,01:50,53,12:30
2024-08-21,8025,ALACANT/ALICANTE,ALICANTE,81,"28,2","0,0","24,8",06:00,"31,5",13:50,14,"2,2","7,5",12:40,"6,6","1008,8",10,"1005,7",03,69,83,05:30,53,13:40
2024-08-22,8025,ALACANT/ALICANTE,ALICANTE,81,"27,6","0,0","23,5",05:50,"31,8",12:40,99,"1,4","6,1",13:50,"7,1","1006,9",00,"1002,7",17,65,81,01:40,49,15:00
2024-08-23,8025,ALACANT/ALICANTE,ALICANTE,81,"28,0","0,0","24,1",05:50,"31,8",12:40,15,"1,9","6,4",11:50,"11,3","1006,3",10,"1003,9",03,66,84,Varias,57,Varias
2024-08-24,8025,ALACANT/ALICANTE,ALICANTE,81,"27,0","0,0","22,3",05:50,"31,6",13:30,07,"1,9","8,3",14:30,"12,2","1005,7",09,"1003,0",18,69,84,21:50,59,12:40
2024-08-25,8025,ALACANT/ALICANTE,ALICANTE,81,"28,4","0,0","23,7",05:50,"33,1",11:50,07,"3,1","10,8",14:10,"8,9","1006,9",Varias,"1004,2",Varias,69,83,00:00,53,11:20
2024-08-26,8025,ALACANT/ALICANTE,ALICANTE,81,"27,8","0,0","24,5",05:50,"31,2",09:20,06,"2,8","8,1",11:50,"7,1","1008,1",10,"1006,2",Varias,68,79,23:20,50,08:50
2024-08-27,8025,ALACANT/ALICANTE,ALICANTE,81,"27,5","0,0","23,7",04:00,"31,3",13:30,14,"2,2","6,7",12:50,"8,6","1007,1",09,"1003,9",18,68,81,Varias,56,13:20
2024-08-28,8025,ALACANT/ALICANTE,ALICANTE,81,"27,0","0,0","23,0",05:50,"31,1",14:20,12,"2,2","6,9",13:00,"12,3","1006,7",11,"1004,7",Varias,68,84,02:40,55,12:20
2024-08-29,8025,ALACANT/ALICANTE,ALICANTE,81,"27,4","0,0","23,9",06:00,"30,8",14:00,06,"3,3","11,4",10:30,"9,3","1007,5",06,"1004,7",17,69,80,Varias,60,Varias
2024-08-30,8025,ALACANT/ALICANTE,ALICANTE,81,"26,7","4,0","23,5",06:00,"29,9",14:50,08,"3,3","11,4",14:20,"5,6","1007,4",08,"1004,1",22,71,81,02:00,56,14:50
2024-08-31,8025,ALACANT/ALICANTE,ALICANTE,81,"26,3","0,0","22,3",06:00,"30,3",13:50,07,"2,5","11,4",10:50,"10,6","1006,3",01,"1003,2",19,74,88,03:50,58,09:20
2024-09-01,8025,ALACANT/ALICANTE,ALICANTE,81,"26,8","0,0","22,7",06:00,"30,9",10:40,12,"1,7","6,7",12:30,"9,4","1004,5",10,"1002,1",15,72,85,01:40,55,09:30
2024-09-02,8025,ALACANT/ALICANTE,ALICANTE,81,"28,3","0,0","25,0",05:50,"31,6",12:00,15,"2,5","7,8",13:00,"8,0","1004,4",09,"1001,5",17,73,85,05:40,61,Varias
2024-09-03,8025,ALACANT/ALICANTE,ALICANTE,81,"27,2","0,4","23,7",05:00,"30,6",14:10,06,"3,1","13,3",16:20,"5,4","1005,3",24,"1002,4",14,72,89,09:50,60,12:50
2024-09-04,8025,ALACANT/ALICANTE,ALICANTE,81,"26,2","10,2","21,8",13:40,"30,6",11:30,03,"3,6","11,7",12:50,"9,1","1004,8",Varias,"1002,0",17,73,93,13:40,59,11:20
2024-09-05,8025,ALACANT/ALICANTE,ALICANTE,81,"25,7","0,0","22,6",06:00,"28,8",14:20,14,"2,2","8,1",15:40,"5,1","1004,5",00,"999,1",Varias,65,82,Varias,52,13:40
2024-09-06,8025,ALACANT/ALICANTE,ALICANTE,81,"26,5","0,0","22,1",03:00,"30,9",13:00,18,"2,2","7,5",12:40,"12,1","999,1",00,"995,8",17,63,83,06:00,49,13:00
2024-09-07,8025,ALACANT/ALICANTE,ALICANTE,81,"26,1","0,6","21,3",05:40,"30,9",10:10,05,"1,4","7,8",13:40,"10,9","1002,6",22,"997,5",03,68,87,05:30,44,10:00
2024-09-08,8025,ALACANT/ALICANTE,ALICANTE,81,"27,1","0,0","23,4",07:20,"30,8",12:50,19,"2,2","9,4",14:00,"9,1","1003,3",24,"1000,3",15,72,84,00:00,45,23:59
2024-09-09,8025,ALACANT/ALICANTE,ALICANTE,81,"25,8","0,0","22,3",04:30,"29,4",11:30,12,"1,9","7,5",12:00,"12,0","1008,1",21,"1003,3",00,60,78,23:59,42,01:20
2024-09-10,8025,ALACANT/ALICANTE,ALICANTE,81,"25,2","0,0","20,6",05:00,"29,7",12:00,15,"1,9","6,4",13:00,"10,8","1007,8",09,"1005,1",18,69,87,05:30,58,10:10
2024-09-11,8025,ALACANT/ALICANTE,ALICANTE,81,"25,6","0,0","21,9",06:00,"29,4",11:30,14,"2,2","6,7",12:10,"9,5","1006,5",10,"1004,2",15,68,85,04:30,57,11:10
2024-09-12,8025,ALACANT/ALICANTE,ALICANTE,81,"25,4","0,0","20,8",05:40,"30,1",15:30,07,"1,7","8,3",23:20,"11,6","1005,7",24,"1002,2",16,65,86,02:00,52,Varias
2024-09-13,8025,ALACANT/ALICANTE,ALICANTE,81,"23,2","0,0","20,0",23:59,"26,4",10:40,07,"4,7","11,9",17:00,"4,0","1013,2",23,"1005,5",01,57,77,00:10,42,12:10
2024-09-14,8025,ALACANT/ALICANTE,ALICANTE,81,"22,6","0,0","18,6",23:59,"26,7",12:10,06,"2,5","7,5",09:30,"8,9","1014,3",09,"1011,7",16,51,67,05:20,36,14:00
2024-09-15,8025,ALACANT/ALICANTE,ALICANTE,81,"22,0","0,0","16,4",05:50,"27,6",12:30,99,"2,5","7,5",Varias,"11,8","1011,9",00,"1007,4",19,58,73,Varias,43,09:50
2024-09-16,8025,ALACANT/ALICANTE,ALICANTE,81,"22,8","0,0","17,7",06:00,"27,9",12:40,14,"1,9","6,4",13:50,"11,3","1007,8",00,"1003,8",Varias,63,80,Varias,50,09:50
2024-09-17,8025,ALACANT/ALICANTE,ALICANTE,81,"22,4","0,0","17,9",04:00,"26,9",11:50,06,"2,5","7,2",12:00,"8,7","1004,5",10,"1002,5",16,61,80,05:20,50,07:40
2024-09-18,8025,ALACANT/ALICANTE,ALICANTE,81,"22,6","1,0","19,4",23:59,"25,8",11:50,09,"2,5","10,3",13:00,"3,3","1006,3",21,"1003,3",03,72,81,14:40,56,12:10
2024-09-19,8025,ALACANT/ALICANTE,ALICANTE,81,"21,0","4,6","17,6",23:59,"24,3",14:50,27,"1,7","6,4",18:40,"0,5","1006,1",Varias,"1004,2",Varias,72,91,22:30,62,14:50
2024-09-20,8025,ALACANT/ALICANTE,ALICANTE,81,"22,0","0,6","17,4",01:00,"26,6",13:40,06,"2,5","6,7",17:40,"8,7","1006,7",10,"1004,6",16,74,94,06:00,56,12:50
2024-09-21,8025,ALACANT/ALICANTE,ALICANTE,81,"23,8","1,6","21,4",23:59,"26,3",14:20,07,"1,9","7,2",11:20,"6,6","1006,0",08,"1003,6",15,77,92,09:30,62,14:00
2024-09-22,8025,ALACANT/ALICANTE,ALICANTE,81,"23,6","0,0","19,4",06:50,"27,8",12:20,15,"1,7","5,8",12:50,"10,8","1005,8",09,"1003,9",Varias,71,89,Varias,55,11:50
2024-09-23,8025,ALACANT/ALICANTE,ALICANTE,81,"23,8","0,0","19,3",05:00,"28,4",12:30,13,"1,9","6,4",14:50,"9,2","1005,0",Varias,"1003,1",05,64,79,04:50,51,13:30
2024-09-24,8025,ALACANT/ALICANTE,ALICANTE,81,"24,6","0,0","18,4",06:00,"30,8",13:50,29,"1,1","7,2",21:30,"7,1","1005,0",Varias,"1002,4",Varias,47,77,Varias,24,22:00
2024-09-25,8025,ALACANT/ALICANTE,ALICANTE,81,"25,2","0,0","19,2",06:00,"31,3",12:40,20,"1,9","10,8",14:20,"10,6","1006,6",10,"1004,4",03,45,71,20:30,27,12:30
2024-09-26,8025,ALACANT/ALICANTE,ALICANTE,81,"26,0","0,0","19,4",06:30,"32,5",10:50,19,"2,2","8,9",14:20,"11,3","1004,5",00,"1000,7",16,60,81,20:40,35,10:10
2024-09-27,8025,ALACANT/ALICANTE,ALICANTE,81,"27,0","0,0","22,4",23:40,"31,7",13:00,28,"1,9","8,6",12:40,"10,8","1008,0",24,"1002,4",03,55,78,18:40,29,12:50
2024-09-28,8025,ALACANT/ALICANTE,ALICANTE,81,"21,5","0,0","17,6",23:59,"25,4",10:00,08,"2,8","9,2",14:50,"10,8","1015,1",22,"1007,9",00,50,67,Varias,39,08:50
2024-09-29,8025,ALACANT/ALICANTE,ALICANTE,81,"20,6","0,0","15,1",06:00,"26,0",11:00,12,"1,9","6,1",13:40,"11,2","1014,9",00,"1012,5",Varias,63,81,23:50,49,08:10
2024-09-30,8025,ALACANT/ALICANTE,ALICANTE,81,"21,0","0,0","16,0",06:00,"26,1",11:30,14,"1,9","5,3",13:10,"11,2","1012,8",00,"1009,3",16,69,87,Varias,52,13:40
2024-10-01,8025,ALACANT/ALICANTE,ALICANTE,81,"21,8","0,0","16,3",06:30,"27,4",14:00,16,"1,7","6,7",11:30,"10,4","1009,9",00,"1003,7",24,71,85,23:40,58,Varias
2024-10-02,8025,ALACANT/ALICANTE,ALICANTE,81,"26,8","0,0","18,4",01:50,"35,1",13:40,17,"1,9","10,8",14:10,"9,4","1003,7",00,"996,8",24,42,85,00:00,27,13:30
